%loc	type	subtyp	n	ord	thresh	pol0	pol1	pol2	pol3
126	dssd_back	dssd_back	1	2	0	-130.9098180725	3.4415937392	-153.3983950085	3.4623278534
127	dssd_back	dssd_back	1	2	0	-126.5998876558	3.4431007639	-75.0574232237	3.4061219133
128	dssd_back	dssd_back	1	2	0	-44.1478280065	3.2986954117	-97.3685804791	3.3398336963
									
2	si	veto	1	2	0	580.3049468647	8.0563222056	0	
3	si	si	1	2	0	580.3049468647	8.0563222056	0	
4	si	si	1	2	0	589.055431777	7.6769933654	0	
5	si	si	1	2	0	186.4884772759	8.9343857711	0	
6	si	si	1	2	0	525.3142405863	7.8998291203	0	
7	si	si	1	2	0	553.5090813599	8.0978666307	0	
8	si	si	1	2	0	207.1418169746	8.6917406398	0	
									
1	mcp	1position1	1	2	100	0	1	0	
2	mcp	1position2	1	2	100	0	1	0	
1	logic	trigger	1	2	0	0	1	0	
2	logic	start	1	2	0	0	1	0	
3	logic	stop	1	2	0	0	1	0	

